"Label","Id","Category"
"Unclassified157_Unclassified1(D)",25,7
"Sulfuricurvum",18,1
"Unclassified85_Gallionellaceae_2(F)",30,4
"Candidatus Omnitrophus",3,7
"Rectinema",13,2
"Unclassified78_Rhodocyclaceae_2(F)",28,5
"Unclassified81_Comamonadaceae_2(F)",29,2
"Methanoregula",12,3
"Incertae Sedi296",7,4
"Syntrophu2",19,2
"Incertae Sedi682",10,2
"Sideroxydan2",16,1
"Trichlorobacter_2",22,1
"Acidaminobacter",1,5
"Desulfosporosinus",4,1
"Roseimarinus",14,6
"Incertae Sedi635",9,7
"Unclassified118_Bacteria(D)",23,2
"Humidesulfovibrio",5,6
"Unclassified89_Bacteroidales(O)",31,3
"Thermobacillus",20,5
"Arcobacter",2,1
"Smithella_2",17,2
"Unclassified178_Oscillospiraceae(F)",26,5
"Incertae Sedi497",8,6
"Incertae Sedi1015",6,5
"Unclassified133_Desulfobacterale2(O)",24,3
"Rugosibacter",15,1
"Thermobispora_2",21,5
"Unclassified57_Pseudomonadaceae_2(F)",27,1
"Incertae Sedi813",11,1
