SampleID	Sample_ID	short_name	sample_names	sample_names	order_treatment	orvion_sample_names	primerpairname	filtration_volume_ml	elution_volume_ul	DNA_concentration	sample_nr	wetland_sample	CW_number	CW_section	MF_number	linked_redox_sensor	CW_number_CW_section	CW_number_MF_number	sampling_date	date	season_meterological	sample_depth_information	timepoint	timepoint_MF_number	timepoint_sample_depth_information	time_continuous	obs_well	Nanobubbles_On	chloride_mg_l	cyanide_total	phosphorus_total	oxygen	temperature	redoxpot	pH	EGV3	Frontpump_flowrate		DOC	TOC	benzene_ug_l	benzene_mmol_e_l	toluene_ug_l	toluene_mmol_e_l	ethylbenzene_ug_l	ethylbenzene_mmol_e_l	o_xylene_ug_l	o_xylene_mmol_e_l	pm_xylene_ug_l	pm_xylene_mmol_e_l	xylene_ug_l	xylene_mmol_e_l	concentration_BTEX_ug_l	concentration_BTEX_mmol_e_l	naphthalene_VOC_ug_l	naphthalene_VOC_mmol_e_l	naphthalene_PAH_ug_l	naphthalene_PAH_mmol_e_l	acenaphthylene_ug_l	acenaphthylene_mmol_e_l	acenaphthene_ug_l	acenaphthene_mmol_e_l	fluorene_ug_l	fluorene_mmol_e_l	phenanthrene_ug_l	phenanthrene_mmol_e_l	anthracene_ug_l	anthracene_mmol_e_l	fluoranthene_ug_l	fluoranthene_mmol_e_l	pyrene_ug_l	pyrene_mmol_e_l	Sum_water_soluble_PAHs_ug_l	Sum_water_soluble_PAHs_no_napthalene_ug_l	Sum_water_soluble_PAHs_mmol_e_l	Sum_water_soluble_PAHs_no_napthalene_mmol_e_l	fraction_C10-C12	fraction_C12-C22	fraction_C30-C40	total_C10-C40	iron2_mg_l	iron2_measured_mmoles_l	iron2_measured_electron_acceptor_capacity_mmol_e	manganese2_mg_l	manganese2__measured_mmoles_l	manganese2_electron_acceptor_capacity_mmol_e_l	sulfate_mg_l	sulfate_measured_mmoles_l	sulfate_electron_acceptor_capacity_mmol_e	sulfate_consumption_relative_to_influent	sulfate_consumption_percentage_relative_to_influent	sulfate_consumption_relative_to_influent_mmols_e_l	sulfate_consumption_relative_to_influent_mmols_e_l_no_negatives	sulfate_consumption_1D_flow_mg_l	sulfate_consumption_percentage_1D_flow_relative_to_previous_sample	sulfate_consumption_1D_flow_mmols_e_l	sulfate_consumption_1D_flow_mmols_e_l_no_negatives	iron2_PRECIPITATED_due_to_sulfate_reduction_mg_l_Sulfate_relative_To_Influent	iron2_PRECIPITATED_due_to_sulfate_mg_l_Sulfate_relative_To_Influent_NO_NEGATIVES	iron2_TOTAL_mg_l_Sulfate_relative_To_Influent	iron2_TOTAL_mmoles_l__Sulfate_relative_To_Influent	iron2_TOTAL_mmoles_e_l__Sulfate_relative_To_Influent	iron2_PRECIPITATED_due_to_sulfate_reduction_mg_l_Sulfate_relative_To_1D_flow	iron2_PRECIPITATED_due_to_sulfate_mg_l_Sulfate_relative_To_1D_flow_NO_NEGATIVES	iron2_TOTAL_mg_l_sulfate_relative_to_1D_flow	iron2_TOTAL_mmoles_l_sulfate_relative_to_1D_flow	iron2_TOTAL_mmoles_e_l__sulfate_relative_to_1D_flow	Soluble_electron_acceptor_capacity_present_mmol_e_l	combined_TOTAL_reduced_metals_mg_l_1D_flow	combined_total_reduced_metals_mmol_e_l_1D_flow	electron_acceptor_capacity_mmol_e_consumed_rel_to_influent	electron_acceptor_capacity_mmol_e_consumed_rel_to_influent_contribution_manganese2	electron_acceptor_capacity_mmol_e_consumed_rel_to_influent_contribution_iron2	electron_acceptor_capacity_mmol_e_consumed_rel_to_influent_contribution_sulfate	electron_acceptor_capacity_mmol_e_consumed_rel_to_1D_flow	electron_acceptor_capacity_mmol_e_consumed_rel_to_1D_flow_contribution_manganese2	electron_acceptor_capacity_mmol_e_consumed_rel_to_1D_flow_contribution_iron2	electron_acceptor_capacity_mmol_e_consumed_rel_to_1D_flow_contribution_sulfate	electron_donor_acceptor_balance_BTEXN_acceptors_consumed_relative_to_influent	electron_donor_acceptor_balance_BTEXN_acceptors_consumed_relative_to_1D_flow	electron_donor_acceptor_balance_BTEXN_PAH_acceptors_consumed_relative_to_influent	electron_donor_acceptor_balance_BTEXN_PAH_acceptors_consumed_relative_to_1D_flow	electron_capacity_balance_influent	electron_balance_1D_flow	dominant_electron_acceptor_species_influent	dominant_electron_acceptor_species_1D_flow
CW_1	CW_1	CW1MF01_P0	CW1MF01_P0_May_2024	CW1MF01_P0_May_2024	1	S7472	515F806R	150	65	19,1	NA	Wetland	CW_1	Section_1	MF01	CW1S1-1	CW_1_Section_1	CW_1_MF01	2024-05-27		Spring	0.15-0.30	P0	P0_MF01	P0_0.15-0.30	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CW_2	CW_2	CW1MF02_P0	CW1MF02_P0_May_2024	CW1MF02_P0_May_2024	2	S7473	515F806R	150	65	13,3	NA	Wetland	CW_1	Section_1	MF02	CW1S1-3-4	CW_1_Section_1	CW_1_MF02	2024-05-27		Spring	0.60-0.80	P0	P0_MF02	P0_0.60-0.80	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CW_3	CW_3	CW1MF03_P0	CW1MF03_P0_May_2024	CW1MF03_P0_May_2024	3	S7474	515F806R	150	65	14,95	NA	Wetland	CW_1	Section_2	MF03	CW1S2-1	CW_1_Section_2	CW_1_MF03	2024-05-27		Spring	0.15-0.30	P0	P0_MF03	P0_0.15-0.30	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CW_4	CW_4	CW1MF04_P0	CW1MF04_P0_May_2024	CW1MF04_P0_May_2024	4	S7475	515F806R	150	65	13,65	NA	Wetland	CW_1	Section_2	MF04	CW1S2-3-4	CW_1_Section_2	CW_1_MF04	2024-05-27		Spring	0.60-0.80	P0	P0_MF04	P0_0.60-0.80	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CW_5	CW_5	CW1MF09_P0	CW1MF09_P0_May_2024	CW1MF09_P0_May_2024	5	S7476	515F806R	150	65	11,85	NA	Wetland	CW_1	Section_3	MF09	CW1S3-1	CW_1_Section_3	CW_1_MF09	2024-05-27		Spring	0.15-0.30	P0	P0_MF09	P0_0.15-0.30	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CW_6	CW_6	CW1MF10_P0	CW1MF10_P0_May_2024	CW1MF10_P0_May_2024	6	S7477	515F806R	150	65	12	NA	Wetland	CW_1	Section_3	MF10	CW1S3-3-4	CW_1_Section_3	CW_1_MF10	2024-05-27		Spring	0.60-0.80	P0	P0_MF10	P0_0.60-0.80	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CW_7	CW_7	CW1MF11_P0	CW1MF11_P0_May_2024	CW1MF11_P0_May_2024	7	S7478	515F806R	150	65	11,05	NA	Wetland	CW_1	Section_4	MF11	CW1S4-1	CW_1_Section_4	CW_1_MF11	2024-05-27		Spring	0.15-0.30	P0	P0_MF11	P0_0.15-0.30	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CW_8	CW_8	CW1MF12_P0	CW1MF12_P0_May_2024	CW1MF12_P0_May_2024	8	S7479	515F806R	150	65	10,65	NA	Wetland	CW_1	Section_4	MF12	CW1S4-3-4	CW_1_Section_4	CW_1_MF12	2024-05-27		Spring	0.60-0.80	P0	P0_MF12	P0_0.60-0.80	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CW_9	CW_9	CWinf_0	CWinf_0_August_2024	CWinf_0_August_2024	9	S7660	515F806R	150	65	5,95	14137094-002	INF	CW_0	Section_0	INF	NA	CW_0_Section_0	CW_0_INF	2024-08-12	14/08/2024	Summer	INF	T0	T0_INF	T0_INF	0	INFLOW	no	65	26	0,78	NA	NA	NA	NA	NA	0,2	NA	14	15	690	0,265010882	190	0,07423486	910	0,359988697	330	0,130545352	590	0,233399265	920	0,363944617	2710,00	1,06	5600	2,097214637	4900	1,835062807	1900	0,699126092	2400	0,902665197	2600	0,969799061	5100	1,888570948	2300	0,851708467	2200	0,804944376	2800	1,02447466	24200	19300	8,976351608	7,141288801	8600	4600	2.5	13000	0,3	0,005371531	0,005371531	0,9	0,016384489	0,032768979	73	0,759941703	6,079533625	0	0	0	0	0	0	0	0	0	0	0,3	0,005371531	0,005371531	0	0	0,3	0,005371531	0,005371531	6,079533625	1,2	0,03814051	0,03814051	0,85916468	0,14083532	0	0,03814051	0,85916468	0,14083532	0	3,12	3,12	10,26	10,26	Insufficient Capacity	Insufficient Capacity	Iron Dominant electron acceptor	Iron Dominant electron acceptor
CW_10	CW_10	CW1eff_0	CW1eff_0_August_2024	CW1eff_0_August_2024	10	S7661	515F806R	150	65	5,5	14135850-001	EFF	CW_1	Section_5	EFF	NA	CW_1_Section_5	CW_1_EFF	2024-08-12	12/08/2024	Summer	EFF	T0	T0_EFF	T0_EFF	0	CW1_OUT	no	44	12	0,93	4,02	23	-83	7	785	0,1	NA	17	17	150	0,057611061	21	0,008204906	110	0,043515117	43	0,017010455	35	0,013845719	78		359,00	0,11	410	0,153546072	160	0,059920418	1,6	0,000588738	6,1	0,002294274	1,3	0,0004849	0,73	0,000270325	0,08	2,96246E-05	0,04	1,46354E-05	0,03	1,09765E-05	169,88	9,88	0,063613891	0,003693473	430	50	2.5	480	5,3	0,094897046	0,094897046	3,8	0,069178955	0,13835791	36	0,374765771	2,998126171	37	50,68493151	3,081407454	3,081407454	3	7,692307692	0,249843848	0,249843848	21,50822403	21,50822403	26,80822403	0,480004011	0,480004011	1,743910056	1,743910056	7,043910056	0,126121935	0,126121935	2,998126171	10,84391006	0,264479845	3,699769375	0,037396361	0,129738901	0,832864739	0,514323692	0,269009404	0,245218987	0,485771609	-3,44	-0,25	-3,43	-0,25	Sufficient Capacity	Sufficient Capacity	Sulfate Dominant electron acceptor	Sulfate Dominant electron acceptor
