SampleID	Sample_ID	Sample_Names	Orvion_Sample_Names	CW_Section	CW_Number	CW_Number_Section	CW_Number_MF_number	MF_number	Wetland_Sample	Linked_redox_Sensor	Sample_depth	Sample_depth_information	Primerpairname	Short_Name	Sample_or_Control	Timepoint	Timepoint_Sample_depth_information	Sampling_Date	Season_Meterological	Filtration_Volume_ml	Elution_Volume_ul	DNA_concentration	Order_Treatment	sample_nr	obs_well	date	DOC	TOC	benzene_ug_l	benzene_mmol_e_l	toluene_ug_l	toluene_mmol_e_l	ethylbenzene_ug_l	ethylbenzene_mmol_e_l	o_xylene_ug_l	o_xylene_mmol_e_l	pm_xylene_ug_l	pm_xylene_mmol_e_l	xylene_ug_l	xylene_mmol_e_l	concentration_BTEX_ug_l	concentration_BTEX_mmol_e_l	naphthalene_VOC_ug_l	naphthalene_VOC_mmol_e_l	phenol	m_cresol	o_cresol	p_cresol	cresol	2_ethylphenol	3_ethylphenol	24_dimethylphenol	25_dimethylphenol	3,5+2,3-dimethylphenol+4-ethylphenol	26_dimethylphenol	34_dimethylphenol	c2_alkylphenols_total	235_trimethylphenol	345_trimethylphenol	2_isopropylphenol	c3_alkylphenols_total	thymol	p_[tert]butylphenol	c4_alkylphenols_total	naphthalene_PAH_ug_l	acenaphthylene_ug_l	acenaphthene_ug_l	fluorene_ug_l	phenanthrene_ug_l	anthracene_ug_l	fluoranthene_ug_l	pyrene_ug_l	naphthalene_PAH_mmol_e_l	acenaphthylene_mmol_e_l	acenaphthene_mmol_e_l	fluorene_mmol_e_l	phenanthrene_mmol_e_l	anthracene_mmol_e_l	fluoranthene_mmol_e_l	pyrene_mmol_e_l	benzo[a]anthracene	chrysene	benzo[b]fluoranthene	benzo[k]fluoranthene	benzo[a]pyrene		dibenz[a,h]anthracene	benzo[ghi]perylene	indeno[1,2,3-cd]pyrene	Sum_water_soluble_PAHs_ug_l	Sum_water_soluble_PAHs_no_napthalene_ug_l	Sum_water_soluble_PAHs_mmol_e_l	Sum_water_soluble_PAHs_no_napthalene_mmol_e_l	PAH_total_16_ug	fraction_C10-C12	fraction_C12-C22	fraction_C22-C30	fraction_C30-C40	total_C10-C40	Electron_Donor_Load	Total_Electron_Acceptor_Capacity	chloride_mg_l	nitrite_mg_l	nitrite_N_mg_l	nitrate_mg_l	iron2_precipated_due_to_sulfate_reduction_mg_l_Sulfate_relative_To_Influent	iron2_precipated_due_to_sulfate_reduction_no_negative_values_mg_l_Sulfate_relative_To_Influent	iron2_mg_l	iron2_measured_mmoles_l	iron2_measured_electron_acceptor_capacity_mmol_e	total_iron2_mg_l_Sulfate_relative_To_Influent	iron2_total_mmoles_l__Sulfate_relative_To_Influent	iron2_total_electron_acceptor_capacity_mmol_e__Sulfate_relative_To_Influent	iron2_precipated_due_to_sulfate_reduction_mg_l_Sulfate_relative_To_1D_Flow	iron2_precipated_due_to_sulfate_reduction_no_negative_values_mg_l_Sulfate_relative_To_1D_Flow	total_iron2_mg_l_Sulfate_relative_To_1D_Flow	iron2_total_mmoles_l__Sulfate_relative_To_1D_Flow	iron2_total_electron_acceptor_capacity_mmol_e__Sulfate_relative_To_1D_Flow	manganese2_mg_l	manganese2_mmoles_l	manganese2_electron_acceptor_capacity_mmol_e_l	Ratio_iron2_manganese2_in_mmoles_l	Ratio_iron2_to_manganese2_in_mmoles_e_l	combined_total_reduced_metals_mg_l	combined_total_reduced_metals_mmol_e_l	cyanide_total	phosphorus_total	nitrate_consumption_relative_to_influent	nitrate_N_mg_l	nitrate_mmoles_l	nitrate_electron_acceptor_capacity_mmol_e	sulfate_consumption_relative_to_influent	sulfate_consumption_percentage_relative_to_influent	sulfate_consumption_relative_to_influent_mmols_e_l	sulfate_consumption_1D_flow_mg_l	sulfate_consumption_percentage_1D_flow_relative_to_previous_sample	sulfate_consumption_1D_flow_mmols_e_l	sulfate_consumption_1D_flow_mmols_e_l_no_negatives	sulfate_mg_l	sulfate_mmoles_l	sulfate_electron_acceptor_capacity_mmol_e	combined_remaining_soluble_electron_acceptor_capacity	total_electron_acceptor_capacity_consumed_mmol_e_l_relative_To_Influent	electron_acceptor_relative_contribution_manganse_Sulfate_relative_To_Influent	electron_acceptor_relative_contribution_iron_Sulfate_relative_To_Influent	electron_acceptor_relative_contribution_sulfate_Sulfate_relative_To_Influent	total_electron_acceptor_capacity_consumed_mmols_e_l_Sulfate_relative_To_1D_Flow	electron_acceptor_relative_contribution_manganse_Sulfate_relative_To_1D_Flow	electron_acceptor_relative_contribution_iron_Sulfate_relative_To_1D_Flow	electron_acceptor_relative_contribution_sulfate_Sulfate_relative_To_1D_Flow	oxygen	temperature	redoxpot	pH	EGV3	Frontpump_flowrate		electron_acceptor_donor_balance_BTEXN_minus_total_e_acceptors_consumed_relative_to_influent	electron_acceptor_donor_balance_BTXN_PAH_e_acceptors_consumed_relative_to_influent	electron_acceptor_donor_balance_BTXN_PAH_e_acceptors_consumed_relative_to_1D_flow	electron_acceptor_donor_balance_BTXN_PAH_e_acceptors_consumed_relative_to_1D_flow
CW_1	CW_1	CW1MF01_P0_May_2024	S7472	Section_1	CW_1	CW_1_Section_1	CW_1_MF01	MF01	Wetland	CW1S1-1	0.15-0.30	0.15-0.30	515F806R	CW1MF01_P0	True Sample	P0	P0_0.15-0.30	2024-05-27	Spring	150	65	19,1	1				NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CW_2	CW_2	CW1MF02_P0_May_2024	S7473	Section_1	CW_1	CW_1_Section_1	CW_1_MF02	MF02	Wetland	CW1S1-3-4	0.60-0.80	0.60-0.80	515F806R	CW1MF02_P0	True Sample	P0	P0_0.60-0.80	2024-05-27	Spring	150	65	13,3	2				NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CW_3	CW_3	CW1MF03_P0_May_2024	S7474	Section_2	CW_1	CW_1_Section_2	CW_1_MF03	MF03	Wetland	CW1S2-1	0.15-0.30	0.15-0.30	515F806R	CW1MF03_P0	True Sample	P0	P0_0.15-0.30	2024-05-27	Spring	150	65	14,95	3				NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CW_4	CW_4	CW1MF04_P0_May_2024	S7475	Section_2	CW_1	CW_1_Section_2	CW_1_MF04	MF04	Wetland	CW1S2-3-4	0.60-0.80	0.60-0.80	515F806R	CW1MF04_P0	True Sample	P0	P0_0.60-0.80	2024-05-27	Spring	150	65	13,65	4				NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CW_5	CW_5	CW1MF09_P0_May_2024	S7476	Section_3	CW_1	CW_1_Section_3	CW_1_MF09	MF09	Wetland	CW1S3-1	0.15-0.30	0.15-0.30	515F806R	CW1MF09_P0	True Sample	P0	P0_0.15-0.30	2024-05-27	Spring	150	65	11,85	5				NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CW_6	CW_6	CW1MF10_P0_May_2024	S7477	Section_3	CW_1	CW_1_Section_3	CW_1_MF10	MF10	Wetland	CW1S3-3-4	0.60-0.80	0.60-0.80	515F806R	CW1MF10_P0	True Sample	P0	P0_0.60-0.80	2024-05-27	Spring	150	65	12	6				NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CW_7	CW_7	CW1MF11_P0_May_2024	S7478	Section_4	CW_1	CW_1_Section_4	CW_1_MF11	MF11	Wetland	CW1S4-1	0.15-0.30	0.15-0.30	515F806R	CW1MF11_P0	True Sample	P0	P0_0.15-0.30	2024-05-27	Spring	150	65	11,05	7				NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CW_8	CW_8	CW1MF12_P0_May_2024	S7479	Section_4	CW_1	CW_1_Section_4	CW_1_MF12	MF12	Wetland	CW1S4-3-4	0.60-0.80	0.60-0.80	515F806R	CW1MF12_P0	True Sample	P0	P0_0.60-0.80	2024-05-27	Spring	150	65	10,65	8				NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CW_9	CW_9	CWinf_0_August_2024	S7660	Section_0	CW_0	CW_0_Section_0	CW_0_INF	INF	INF	NA	NA	INF	515F806R	CWinf_0	True Sample	T0	T0_INF	2024-08-12	Summer	150	65	5,95	9	14137094-002	INFLOW	14/08/2024	14	15	690	0,265010882	190	0,07423486	910	0,359988697	330	0,130545352	590	0,233399265	920	0,363944617	2710,00	1,06	5600	2,097214637	5.5	0.68	0.9	0.81	2.4	2	2	6.4	1.5	11	1.1	1.9	26	4.8	0.053	0.02	4.8	0.02	1.6	1.6	4900	1900	2400	2600	5100	2300	2200	2800	1,835062807	0,699126092	0,902665197	0,969799061	1,888570948	0,851708467	0,804944376	1,02447466	1100	960	710	310	1000		87	350	430	24200	19300	8,976351608	7,141288801	29000	8600	4600	2.5	2.5	13000	31.710		65	0.03	0.01	0.075	0		0,3	0,005371531	0,005371531	0,3	0,005371531	0,005371531	0	0	0,3	0,005371531	0,005371531	0,9	0,016384489	0,032768979	0,327842435	0,163921218	1,2	0,03814051	26	0.78	1	0,017	0,000274194	0,001370968	0	0,00	0	0	0,00	0	0	73	0,759941703	6,079533625	6,080904593	0,04	0,85916468	0,14083532	0	0,04	14,08353204	85,91646796	0	NA	NA	NA	NA	NA	0.2	NA	3,12	10,26	3,12	10,26
CW_10	CW_10	CW1eff_0_August_2024	S7661	Section_5	CW_1	CW_1_Section_5	CW_1_EFF	EFF	EFF	NA	NA	EFF	515F806R	CW1eff_0	True Sample	T0	T0_EFF	2024-08-12	Summer	150	65	5,5	10	14135850-001	CW1_OUT	12/08/2024	17	17	150	0,057611061	21	0,008204906	110	0,043515117	43	0,017010455	35	0,013845719	78		359,00	0,11	410	0,153546072	5.2	0.25	0.43	0.42	1.1	1	2	1.1	0.45	3	0.31	0.58	8.4	0.95	0.02	0.01	0.95	0.01	0.24	0.03	160	1,6	6,1	1,3	0,73	0,08	0,04	0,03	0,059920418	0,000588738	0,002294274	0,0004849	0,000270325	2,96246E-05	1,46354E-05	1,09765E-05	0,001	0,001	0,002	0,001	0,001		0,002	0,001	0,001	169,88	9,88	0,063613891	0,003693473	170	430	50	2.5	2.5	480	529		44	0.03	0.01	0.075	21,50822403	21,50822403	5,3	0,094897046	0,094897046	26,80822403	0,480004011	0,480004011	1,743910056	1,743910056	7,043910056	0,126121935	0,126121935	3,8	0,069178955	0,13835791	6,938584299	3,46929215	30,60822403	0,618361921	12	0.93	1	0,017	0,000274194	0,001370968	37	50,68	3,081407454	3	7,69	0,249843848	0,249843848	36	0,374765771	2,998126171	2,999497139	3,70	0,037396361	0,129738901	0,832864739	0,51	24,52189868	26,90094042	48,5771609	4.02	23	-83	7	785	0.1	NA	-3,44	-3,43	-0,25	-0,25
