"Source","Target","Type","Weight"
25,2,"Undirected",0.349671961310693
25,7,"Undirected",0.273793470186233
25,9,"Undirected",0.318054771842518
18,23,"Undirected",0.309854114668009
18,1,"Undirected",0.355506044171165
18,17,"Undirected",0.28432860363355
30,13,"Undirected",0.273062387206522
30,4,"Undirected",0.269008860643626
30,14,"Undirected",0.318644727401435
3,10,"Undirected",0.318718353298831
13,21,"Undirected",0.338646191936815
13,5,"Undirected",0.261791685390321
28,11,"Undirected",0.236412013383244
28,29,"Undirected",0.266568343789116
28,19,"Undirected",0.288367587353978
29,21,"Undirected",0.208854793815298
29,24,"Undirected",0.29744060238864
29,18,"Undirected",0.256600538528003
12,28,"Undirected",0.317166370065937
12,26,"Undirected",0.265697762480959
7,13,"Undirected",0.322308239675133
7,27,"Undirected",0.295297694065483
19,18,"Undirected",0.327120150480724
10,24,"Undirected",0.260746739591562
16,5,"Undirected",0.359939570866538
22,14,"Undirected",0.22656936821193
22,26,"Undirected",0.334778251992764
22,30,"Undirected",0.361883257463396
22,5,"Undirected",0.283252776471948
22,12,"Undirected",0.266086214420969
1,20,"Undirected",0.278987523983034
1,6,"Undirected",0.316155939366615
1,19,"Undirected",0.304148387089012
4,5,"Undirected",0.184446190814481
4,16,"Undirected",0.307510706744493
14,8,"Undirected",0.311948553741978
9,9,"Undirected",0.299443509875184
9,16,"Undirected",0.280015138807385
23,18,"Undirected",0.275931176099849
23,25,"Undirected",0.318686645591863
5,29,"Undirected",0.376619370280409
5,32,"Undirected",0.363527787794529
31,29,"Undirected",0.294731041821948
31,3,"Undirected",0.367578061004131
20,20,"Undirected",0.345778080981755
20,22,"Undirected",0.349213451783851
2,30,"Undirected",0.293026032956255
2,15,"Undirected",0.260363823112468
17,31,"Undirected",0.226824896133171
26,22,"Undirected",0.326323633309923
8,32,"Undirected",0.330529379012041
6,17,"Undirected",0.28364206893395
24,19,"Undirected",0.296359670679164
24,3,"Undirected",0.392136801539225
15,30,"Undirected",0.263332668359429
21,19,"Undirected",0.230605246110151
27,16,"Undirected",0.314285068283921
11,16,"Undirected",0.28472888454279
