"Source","Target","Type","Weight"
19,16,"Undirected",0.294269795525037
19,22,"Undirected",0.287643614763364
11,17,"Undirected",0.327857401656713
11,25,"Undirected",0.288425543810471
11,16,"Undirected",0.298474584110598
11,10,"Undirected",0.291700734504416
11,26,"Undirected",0.305388870125545
11,18,"Undirected",0.309632190478218
11,1,"Undirected",0.333437371001302
11,2,"Undirected",0.355012684132163
11,4,"Undirected",0.311165294740056
11,5,"Undirected",0.290512942922096
18,17,"Undirected",0.289722119883865
18,18,"Undirected",0.281560668717584
18,24,"Undirected",0.294083709645198
18,19,"Undirected",0.623641309716387
7,14,"Undirected",0.307195409265654
7,11,"Undirected",0.321507906053919
7,28,"Undirected",0.297117945453118
17,25,"Undirected",0.295281219062316
17,10,"Undirected",0.314412111031647
17,21,"Undirected",0.272777987053163
17,18,"Undirected",0.270748785443121
26,8,"Undirected",0.322524365068025
26,7,"Undirected",0.386392000548332
26,21,"Undirected",0.340858814173776
31,25,"Undirected",0.294656636163995
31,10,"Undirected",0.386616374115924
31,22,"Undirected",0.324685937323952
31,5,"Undirected",0.351194885206414
20,21,"Undirected",0.298517193780379
20,1,"Undirected",0.295527066995276
20,2,"Undirected",0.314360635566179
5,16,"Undirected",0.313628743749182
5,14,"Undirected",0.296130216071052
5,9,"Undirected",0.300703318734659
5,12,"Undirected",0.325669930567111
5,4,"Undirected",0.30409614790596
28,10,"Undirected",0.379425137341722
28,26,"Undirected",0.286381881853916
28,29,"Undirected",0.297953672299102
28,1,"Undirected",0.289181434241588
28,24,"Undirected",0.33988598927051
28,4,"Undirected",0.276804720541873
28,5,"Undirected",0.343206279696034
24,21,"Undirected",0.314832040513703
24,1,"Undirected",0.326840821377561
24,27,"Undirected",0.296578639797686
24,6,"Undirected",0.348016755556748
8,21,"Undirected",0.297891917240231
8,3,"Undirected",0.321067912884861
12,7,"Undirected",0.345488548698363
12,26,"Undirected",0.323994666890595
16,14,"Undirected",0.297427619206581
16,26,"Undirected",0.297516634456078
16,1,"Undirected",0.335666630595466
16,9,"Undirected",0.340277616198858
16,2,"Undirected",0.293512399067871
16,13,"Undirected",0.324700912920105
16,12,"Undirected",0.30674741400863
16,4,"Undirected",0.3050679596799
27,15,"Undirected",0.256162947298136
29,1,"Undirected",0.307576663376138
29,20,"Undirected",0.319744349280189
29,9,"Undirected",0.304363808419208
29,2,"Undirected",0.371494358486252
29,27,"Undirected",0.301635070049552
29,5,"Undirected",0.279514990391932
1,3,"Undirected",0.310816443240974
1,6,"Undirected",0.351937937597416
6,18,"Undirected",0.301220811797646
6,6,"Undirected",0.321526888239166
10,22,"Undirected",0.29683658320037
10,24,"Undirected",0.300028894629289
10,5,"Undirected",0.371224657215967
15,9,"Undirected",0.42200469516848
15,28,"Undirected",0.296459177239663
15,2,"Undirected",0.318771130168555
15,12,"Undirected",0.301533772273091
15,4,"Undirected",0.360440426941753
23,20,"Undirected",0.302584951930663
23,28,"Undirected",0.289449772114478
23,6,"Undirected",0.374537253060941
21,1,"Undirected",0.333736867397262
21,20,"Undirected",0.342655290626
21,2,"Undirected",0.296682632840544
21,4,"Undirected",0.297964566910026
21,5,"Undirected",0.233322695314459
25,29,"Undirected",0.606009655202093
25,5,"Undirected",0.308692861004195
32,1,"Undirected",0.292100678306792
32,5,"Undirected",0.294223059124636
9,28,"Undirected",0.294001346863231
9,2,"Undirected",0.339957547683676
9,12,"Undirected",0.311787805905319
9,4,"Undirected",0.30673864856981
13,13,"Undirected",0.32120380077457
13,27,"Undirected",0.322713704050561
13,4,"Undirected",0.336829541686404
2,5,"Undirected",0.275991278759095
22,5,"Undirected",0.422743091859048
14,23,"Undirected",0.304362255356428
3,6,"Undirected",0.301137884730391
30,4,"Undirected",0.294212229910438
4,5,"Undirected",0.285587749846207
