"Label","Id","Category"
"Eubacterium1",19,1
"Clostridium1",11,5
"Escherichia",18,1
"Bifidobacterium",7,3
"Enterococcus",17,1
"Parabacteroides",26,2
"Salmonella",31,1
"Eubacterium2",20,5
"Adlercreutzia",5,3
"Raoultella",28,1
"Oscillospira",24,2
"Bilophila",8,2
"Clostridium2",12,2
"Dorea",16,3
"Phascolarctobacterium",27,4
"Roseburia",29,5
"1_Bacteroidales(O)",1,2
"Bacteroides",6,2
"Cedecea",10,1
"Coprococcus",15,3
"Odoribacter",23,2
"Faecalibacterium",21,5
"Pantoea",25,1
"Trabulsiella",32,1
"Blautia",9,3
"Clostridium3",13,3
"3_Lachnospiraceae(F)",2,5
"Klebsiella",22,1
"Collinsella",14,3
"4_Alcaligenaceae(F)",3,2
"Ruminococcus2",30,3
"5_Clostridiales(O)",4,3
