ko	description	ptw_count
K00001	alcohol dehydrogenase [EC:1.1.1.1]	13
K00002	alcohol dehydrogenase (NADP+) [EC:1.1.1.2]	9
K00003	homoserine dehydrogenase [EC:1.1.1.3]	8
K00004	(R,R)-butanediol dehydrogenase / meso-butanediol dehydrogenase / diacetyl reductase [EC:1.1.1.4 1.1.1.- 1.1.1.303]	1
K00005	glycerol dehydrogenase [EC:1.1.1.6]	3
K00006	glycerol-3-phosphate dehydrogenase (NAD+) [EC:1.1.1.8]	3
K00007	D-arabinitol 4-dehydrogenase [EC:1.1.1.11]	3
K00008	L-iditol 2-dehydrogenase [EC:1.1.1.14]	3
K00009	mannitol-1-phosphate 5-dehydrogenase [EC:1.1.1.17]	1
K00010	myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase [EC:1.1.1.18 1.1.1.369]	5
K00011	aldehyde reductase [EC:1.1.1.21]	6
K00012	UDPglucose 6-dehydrogenase [EC:1.1.1.22]	4
K00013	histidinol dehydrogenase [EC:1.1.1.23]	4
K00014	shikimate dehydrogenase [EC:1.1.1.25]	5
K00015	glyoxylate reductase [EC:1.1.1.26]	4
K00016	L-lactate dehydrogenase [EC:1.1.1.27]	9
K00018	glycerate dehydrogenase [EC:1.1.1.29]	8
K00019	3-hydroxybutyrate dehydrogenase [EC:1.1.1.30]	3
K00020	3-hydroxyisobutyrate dehydrogenase [EC:1.1.1.31]	2
K00021	hydroxymethylglutaryl-CoA reductase (NADPH) [EC:1.1.1.34]	6
K00022	3-hydroxyacyl-CoA dehydrogenase [EC:1.1.1.35]	13
K00023	acetoacetyl-CoA reductase [EC:1.1.1.36]	4
K00024	malate dehydrogenase [EC:1.1.1.37]	12
K00025	malate dehydrogenase [EC:1.1.1.37]	11
K00026	malate dehydrogenase [EC:1.1.1.37]	10
K00027	malate dehydrogenase (oxaloacetate-decarboxylating) [EC:1.1.1.38]	3
K00028	malate dehydrogenase (decarboxylating) [EC:1.1.1.39]	5
K00029	malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40]	5
K00030	isocitrate dehydrogenase (NAD+) [EC:1.1.1.41]	8
K00031	isocitrate dehydrogenase [EC:1.1.1.42]	11
K00032	phosphogluconate 2-dehydrogenase [EC:1.1.1.43]	4
K00033	6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]	7
K00034	glucose 1-dehydrogenase [EC:1.1.1.47]	3
K00035	D-galactose 1-dehydrogenase [EC:1.1.1.48]	2
K00036	glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]	8
K00037	3alpha-hydroxysteroid 3-dehydrogenase / chlordecone reductase [EC:1.1.1.50 1.1.1.357 1.1.1.225]	3
K00038	3alpha(or 20beta)-hydroxysteroid dehydrogenase [EC:1.1.1.53]	2
K00039	ribitol 2-dehydrogenase [EC:1.1.1.56]	2
K00040	fructuronate reductase [EC:1.1.1.57]	2
K00041	tagaturonate reductase [EC:1.1.1.58]	2
K00042	2-hydroxy-3-oxopropionate reductase [EC:1.1.1.60]	2
K00043	4-hydroxybutyrate dehydrogenase [EC:1.1.1.61]	3
K00044	17beta-estradiol 17-dehydrogenase [EC:1.1.1.62]	3
K00045	mannitol 2-dehydrogenase [EC:1.1.1.67]	1
K00046	gluconate 5-dehydrogenase [EC:1.1.1.69]	0
K00048	lactaldehyde reductase [EC:1.1.1.77]	3
K00049	glyoxylate/hydroxypyruvate reductase [EC:1.1.1.79 1.1.1.81]	6
K00050	hydroxypyruvate reductase [EC:1.1.1.81]	4
K00051	malate dehydrogenase (NADP+) [EC:1.1.1.82]	5
K00052	3-isopropylmalate dehydrogenase [EC:1.1.1.85]	6
