nrow	ptw
1	ko00010
2	ko00010
16	ko00010
108	ko00010
113	ko00010
120	ko00010
121	ko00010
123	ko00010
126	ko00010
129	ko00010
139	ko00010
140	ko00010
148	ko00010
149	ko00010
150	ko00010
154	ko00010
155	ko00010
156	ko00010
157	ko00010
158	ko00010
159	ko00010
336	ko00010
550	ko00010
746	ko00010
747	ko00010
752	ko00010
775	ko00010
788	ko00010
796	ko00010
818	ko00010
827	ko00010
967	ko00010
968	ko00010
969	ko00010
1096	ko00010
1097	ko00010
1415	ko00010
1442	ko00010
1451	ko00010
1462	ko00010
1463	ko00010
1464	ko00010
1520	ko00010
1604	ko00010
1609	ko00010
1618	ko00010
1624	ko00010
1647	ko00010
1648	ko00010
1650	ko00010
1698	ko00010
1706	ko00010
1714	ko00010
2220	ko00010
2517	ko00010
2518	ko00010
2535	ko00010
2536	ko00010
2537	ko00010
2545	ko00010
2546	ko00010
2846	ko00010
3464	ko00010
3567	ko00010
3744	ko00010
3763	ko00010
3793	ko00010
6418	ko00010
7604	ko00010
10181	ko00010
10847	ko00010
10990	ko00010
11100	ko00010
11858	ko00010
11859	ko00010
13223	ko00010
13363	ko00010
13364	ko00010
13365	ko00010
13366	ko00010
13392	ko00010
13440	ko00010
13441	ko00010
13496	ko00010
14918	ko00010
14919	ko00010
14920	ko00010
15063	ko00010
15064	ko00010
15190	ko00010
15573	ko00010
15574	ko00010
15638	ko00010
17902	ko00010
17996	ko00010
19063	ko00010
19064	ko00010
19065	ko00010
19808	ko00010
19995	ko00010
21047	ko00010
21288	ko00010
21289	ko00010
23	ko00020
24	ko00020
25	ko00020
29	ko00020
30	ko00020
110	ko00020
148	ko00020
149	ko00020
150	ko00020
151	ko00020
154	ko00020
155	ko00020
156	ko00020
157	ko00020
158	ko00020
159	ko00020
160	ko00020
161	ko00020
210	ko00020
211	ko00020
212	ko00020
213	ko00020
214	ko00020
215	ko00020
216	ko00020
217	ko00020
219	ko00020
220	ko00020
221	ko00020
222	ko00020
336	ko00020
550	ko00020
578	ko00020
1442	ko00020
1451	ko00020
1484	ko00020
1485	ko00020
1509	ko00020
1510	ko00020
1511	ko00020
1512	ko00020
1513	ko00020
1514	ko00020
1701	ko00020
1702	ko00020
1703	ko00020
1704	ko00020
1754	ko00020
1755	ko00020
1756	ko00020
3464	ko00020
5545	ko00020
14525	ko00020
14526	ko00020
16827	ko00020
17192	ko00020
17904	ko00020
17905	ko00020
31	ko00030
32	ko00030
33	ko00030
35	ko00030
86	ko00030
109	ko00030
111	ko00030
123	ko00030
539	ko00030
540	ko00030
752	ko00030
753	ko00030
754	ko00030
776	ko00030
796	ko00030
818	ko00030
847	ko00030
937	ko00030
941	ko00030
969	ko00030
1459	ko00030
1461	ko00030
1462	ko00030
1463	ko00030
1464	ko00030
1465	ko00030
1521	ko00030
1602	ko00030
1621	ko00030
1622	ko00030
1624	ko00030
1648	ko00030
1652	ko00030
2220	ko00030
3465	ko00030
3567	ko00030
3763	ko00030
4967	ko00030
5402	ko00030
5717	ko00030
5718	ko00030
6418	ko00030
6956	ko00030
7621	ko00030
7622	ko00030
10853	ko00030
10899	ko00030
10987	ko00030
10990	ko00030
11100	ko00030
13223	ko00030
13225	ko00030
13243	ko00030
13349	ko00030
15063	ko00030
15064	ko00030
15190	ko00030
15573	ko00030
15574	ko00030
15638	ko00030
16541	ko00030
16542	ko00030
16543	ko00030
16544	ko00030
16545	ko00030
16546	ko00030
17094	ko00030
17095	ko00030
17096	ko00030
17198	ko00030
17199	ko00030
17200	ko00030
17201	ko00030
17202	ko00030
17996	ko00030
18261	ko00030
18762	ko00030
19995	ko00030
20678	ko00030
21024	ko00030
21052	ko00030
21161	ko00030
2	ko00040
7	ko00040
8	ko00040
11	ko00040
12	ko00040
38	ko00040
39	ko00040
40	ko00040
62	ko00040
75	ko00040
520	ko00040
618	ko00040
750	ko00040
755	ko00040
756	ko00040
777	ko00040
782	ko00040
860	ko00040
935	ko00040
1060	ko00040
1071	ko00040
1088	ko00040
1469	ko00040
1517	ko00040
1518	ko00040
1554	ko00040
1556	ko00040
1557	ko00040
1602	ko00040
1619	ko00040
1620	ko00040
1626	ko00040
1629	ko00040
1634	ko00040
2823	ko00040
2824	ko00040
2825	ko00040
3069	ko00040
4987	ko00040
4988	ko00040
7620	ko00040
7845	ko00040
7846	ko00040
9477	ko00040
11898	ko00040
12678	ko00040
13289	ko00040
13643	ko00040
13656	ko00040
13657	ko00040
13658	ko00040
14126	ko00040
15458	ko00040
16112	ko00040
16113	ko00040
16812	ko00040
16817	ko00040
16892	ko00040
17176	ko00040
17177	ko00040
17180	ko00040
17181	ko00040
18502	ko00040
18539	ko00040
18585	ko00040
19968	ko00040
19969	ko00040
20485	ko00040
20525	ko00040
20526	ko00040
21010	ko00040
21011	ko00040
21012	ko00040
21212	ko00040
21213	ko00040
21352	ko00040
7	ko00051
8	ko00051
9	ko00051
11	ko00051
44	ko00051
61	ko00051
63	ko00051
65	ko00051
520	ko00051
746	ko00051
748	ko00051
749	ko00051
750	ko00051
752	ko00051
765	ko00051
781	ko00051
783	ko00051
784	ko00051
796	ko00051
800	ko00051
862	ko00051
867	ko00051
872	ko00051
969	ko00051
985	ko00051
1093	ko00051
1462	ko00051
1463	ko00051
1464	ko00051
1468	ko00051
1469	ko00051
1540	ko00051
1555	ko00051
1612	ko00051
1618	ko00051
1620	ko00051
1622	ko00051
1623	ko00051
1627	ko00051
1632	ko00051
1634	ko00051
1653	ko00051
2152	ko00051
2220	ko00051
2528	ko00051
2529	ko00051
2530	ko00051
2531	ko00051
2538	ko00051
2539	ko00051
2540	ko00051
2547	ko00051
2548	ko00051
2549	ko00051
2550	ko00051
2551	ko00051
2552	ko00051
2553	ko00051
2562	ko00051
2563	ko00051
2564	ko00051
2565	ko00051
3070	ko00051
3567	ko00051
3763	ko00051
4964	ko00051
5547	ko00051
6584	ko00051
6603	ko00051
7785	ko00051
10654	ko00051
10655	ko00051
10656	ko00051
10990	ko00051
11100	ko00051
12109	ko00051
12110	ko00051
14006	ko00051
15063	ko00051
15138	ko00051
15190	ko00051
15283	ko00051
15573	ko00051
15574	ko00051
15638	ko00051
16142	ko00051
16297	ko00051
16575	ko00051
16816	ko00051
17406	ko00051
17407	ko00051
17408	ko00051
17409	ko00051
