pathway	level1	level2	level3
ko00010	Glycolysis / Gluconeogenesis	Carbohydrate metabolism	Metabolism
ko00020	Citrate cycle (TCA cycle)	Carbohydrate metabolism	Metabolism
ko00030	Pentose phosphate pathway	Carbohydrate metabolism	Metabolism
ko00040	Pentose and glucuronate interconversions	Carbohydrate metabolism	Metabolism
ko00051	Fructose and mannose metabolism	Carbohydrate metabolism	Metabolism
ko00052	Galactose metabolism	Carbohydrate metabolism	Metabolism
ko00053	Ascorbate and aldarate metabolism	Carbohydrate metabolism	Metabolism
ko00061	Fatty acid biosynthesis	Lipid metabolism	Metabolism
ko00062	Fatty acid elongation	Lipid metabolism	Metabolism
ko00071	Fatty acid degradation	Lipid metabolism	Metabolism
ko00072	Synthesis and degradation of ketone bodies	Lipid metabolism	Metabolism
ko00073	Cutin, suberine and wax biosynthesis	Lipid metabolism	Metabolism
ko00100	Steroid biosynthesis	Lipid metabolism	Metabolism
ko00120	Primary bile acid biosynthesis	Lipid metabolism	Metabolism
ko00121	Secondary bile acid biosynthesis	Lipid metabolism	Metabolism
ko00130	Ubiquinone and other terpenoid-quinone biosynthesis	Metabolism of cofactors and vitamins	Metabolism
ko00140	Steroid hormone biosynthesis	Lipid metabolism	Metabolism
ko00190	Oxidative phosphorylation	Energy metabolism	Metabolism
ko00195	Photosynthesis	Energy metabolism	Metabolism
ko00196	Photosynthesis - antenna proteins	Energy metabolism	Metabolism
ko00220	Arginine biosynthesis	Amino acid metabolism	Metabolism
ko00230	Purine metabolism	Nucleotide metabolism	Metabolism
ko00231	Puromycin biosynthesis	Biosynthesis of other secondary metabolites	Metabolism
ko00232	Caffeine metabolism	Biosynthesis of other secondary metabolites	Metabolism
ko00240	Pyrimidine metabolism	Nucleotide metabolism	Metabolism
ko00250	Alanine, aspartate and glutamate metabolism	Amino acid metabolism	Metabolism
ko00253	Tetracycline biosynthesis	Metabolism of terpenoids and polyketides	Metabolism
ko00254	Aflatoxin biosynthesis	Biosynthesis of other secondary metabolites	Metabolism
ko00260	Glycine, serine and threonine metabolism	Amino acid metabolism	Metabolism
ko00261	Monobactam biosynthesis	Biosynthesis of other secondary metabolites	Metabolism
ko00270	Cysteine and methionine metabolism	Amino acid metabolism	Metabolism
ko00280	Valine, leucine and isoleucine degradation	Amino acid metabolism	Metabolism
ko00281	Geraniol degradation	Metabolism of terpenoids and polyketides	Metabolism
ko00290	Valine, leucine and isoleucine biosynthesis	Amino acid metabolism	Metabolism
ko00300	Lysine biosynthesis	Amino acid metabolism	Metabolism
ko00310	Lysine degradation	Amino acid metabolism	Metabolism
ko00311	Penicillin and cephalosporin biosynthesis	Biosynthesis of other secondary metabolites	Metabolism
ko00330	Arginine and proline metabolism	Amino acid metabolism	Metabolism
ko00331	Clavulanic acid biosynthesis	Biosynthesis of other secondary metabolites	Metabolism
ko00332	Carbapenem biosynthesis	Biosynthesis of other secondary metabolites	Metabolism
ko00333	Prodigiosin biosynthesis	Biosynthesis of other secondary metabolites	Metabolism
ko00340	Histidine metabolism	Amino acid metabolism	Metabolism
ko00350	Tyrosine metabolism	Amino acid metabolism	Metabolism
ko00360	Phenylalanine metabolism	Amino acid metabolism	Metabolism
ko00361	Chlorocyclohexane and chlorobenzene degradation	Xenobiotics biodegradation and metabolism	Metabolism
ko00362	Benzoate degradation	Xenobiotics biodegradation and metabolism	Metabolism
ko00363	Bisphenol degradation	Xenobiotics biodegradation and metabolism	Metabolism
ko00364	Fluorobenzoate degradation	Xenobiotics biodegradation and metabolism	Metabolism
ko00365	Furfural degradation	Xenobiotics biodegradation and metabolism	Metabolism
ko00380	Tryptophan metabolism	Amino acid metabolism	Metabolism
ko00400	Phenylalanine, tyrosine and tryptophan biosynthesis	Amino acid metabolism	Metabolism
ko00401	Novobiocin biosynthesis	Biosynthesis of other secondary metabolites	Metabolism
ko00402	Benzoxazinoid biosynthesis	Biosynthesis of other secondary metabolites	Metabolism
ko00403	Indole diterpene alkaloid biosynthesis	Biosynthesis of other secondary metabolites	Metabolism
ko00404	Staurosporine biosynthesis	Biosynthesis of other secondary metabolites	Metabolism
ko00405	Phenazine biosynthesis	Biosynthesis of other secondary metabolites	Metabolism
ko00410	beta-Alanine metabolism	Metabolism of other amino acids	Metabolism
ko00430	Taurine and hypotaurine metabolism	Metabolism of other amino acids	Metabolism
ko00440	Phosphonate and phosphinate metabolism	Metabolism of other amino acids	Metabolism
ko00450	Selenocompound metabolism	Metabolism of other amino acids	Metabolism
ko00460	Cyanoamino acid metabolism	Metabolism of other amino acids	Metabolism
ko00471	D-Glutamine and D-glutamate metabolism	Metabolism of other amino acids	Metabolism
ko00472	D-Arginine and D-ornithine metabolism	Metabolism of other amino acids	Metabolism
ko00473	D-Alanine metabolism	Metabolism of other amino acids	Metabolism
ko00480	Glutathione metabolism	Metabolism of other amino acids	Metabolism
ko00500	Starch and sucrose metabolism	Carbohydrate metabolism	Metabolism
ko00510	N-Glycan biosynthesis	Glycan biosynthesis and metabolism	Metabolism
ko00511	Other glycan degradation	Glycan biosynthesis and metabolism	Metabolism
ko00512	Mucin type O-glycan biosynthesis	Glycan biosynthesis and metabolism	Metabolism
ko00513	Various types of N-glycan biosynthesis	Glycan biosynthesis and metabolism	Metabolism
ko00514	Other types of O-glycan biosynthesis	Glycan biosynthesis and metabolism	Metabolism
