Tax4fun2 beta
Fri Jun 19 21:09:23 2026
Unknown fraction (amount of otus unused in the prediction) for each sample:
CW1eff_0_August_2024: 0.9189
CW3eff_4_April_2025: 0.7207
CW1MF01_4_April_2025: 0.85839
CW1MF02_4_April_2025: 0.74615
CW1MF05_4_April_2025: 0.87441
CW1MF06_4_April_2025: 0.82234
CW1MF09_4_April_2025: 0.83822
CW1MF10_4_April_2025: 0.84575
CW2MF01_4_April_2025: 0.8359
CW2MF02_4_April_2025: 0.66038
CW2MF05_4_April_2025: 0.87545
CW2eff_0_August_2024: 0.85803
CW2MF06_4_April_2025: 0.80421
CW2MF09_4_April_2025: 0.89283
CW2MF10_4_April_2025: 0.87548
CW3MF01_4_April_2025: 0.84953
CW3MF02_4_April_2025: 0.78541
CW3MF05_4_April_2025: 0.85746
CW3MF06_4_April_2025: 0.77551
CW3MF09_4_April_2025: 0.8836
CW3MF10_4_April_2025: 0.82742
CWinf_5_June_2025: 0.76111
CW3eff_0_August_2024: 0.81982
CW1eff_5_June_2025: 0.68782
CW2eff_5_June_2025: 0.80851
CW3eff_5_June_2025: 0.8914
CW1MF01_5_June_2025: 0.80355
CW1MF02_5_June_2025: 0.82622
CW1MF05_5_June_2025: 0.83633
CW1MF06_5_June_2025: 0.88403
CW1MF09_5_June_2025: 0.83289
CW1MF10_5_June_2025: 0.88155
CW2MF01_5_June_2025: 0.80394
CW1MF01_0_August_2024: 0.86667
CW2MF02_5_June_2025: 0.74388
CW2MF05_5_June_2025: 0.85063
CW2MF06_5_June_2025: 0.82428
CW2MF09_5_June_2025: 0.84481
CW2MF10_5_June_2025: 0.85926
CW3MF01_5_June_2025: 0.83856
CW3MF02_5_June_2025: 0.8608
CW3MF05_5_June_2025: 0.84762
CW3MF06_5_June_2025: 0.85013
CW3MF09_5_June_2025: 0.87899
CW1MF02_0_August_2024: 0.88473
CW3MF10_5_June_2025: 0.88695
CWinf_6_August_2025: 0.76949
CW1eff_6_August_2025: 0.77473
CW2eff_6_August_2025: 0.75431
CW3eff_6_August_2025: 0.68308
CW1MF01_6_August_2025: 0.84181
CW1MF02_6_August_2025: 0.77661
CW1MF05_6_August_2025: 0.87621
CW1MF06_6_August_2025: 0.86406
CW1MF09_6_August_2025: 0.83759
CW1MF05_0_August_2024: 0.91157
CW1MF10_6_August_2025: 0.86042
CW2MF01_6_August_2025: 0.82388
CW2MF02_6_August_2025: 0.81988
CW2MF05_6_August_2025: 0.65736
CW2MF06_6_August_2025: 0.8773
CW2MF09_6_August_2025: 0.88668
CW2MF10_6_August_2025: 0.87163
CW3MF01_6_August_2025: 0.84426
CW3MF02_6_August_2025: 0.84039
CW3MF05_6_August_2025: 0.8399
CW1MF06_0_August_2024: 0.85714
CW3MF06_6_August_2025: 0.82731
CW3MF09_6_August_2025: 0.85391
CW3MF10_6_August_2025: 0.88832
CWinf_7_October_2025: 0.83429
CW1eff_7_October_2025: 0.62211
CW2eff_7_October_2025: 0.82034
CW3eff_7_October_2025: 0.69455
CW1MF01_7_October_2025: 0.76853
CW1MF02_7_October_2025: 0.86313
CW1MF05_7_October_2025: 0.89232
CW1MF09_0_August_2024: 0.85159
CW1MF06_7_October_2025: 0.87573
CW1MF09_7_October_2025: 0.85119
CW1MF10_7_October_2025: 0.87352
CW2MF01_7_October_2025: 0.83362
CW2MF02_7_October_2025: 0.78041
CW2MF05_7_October_2025: 0.66717
CW2MF06_7_October_2025: 0.87527
CW2MF09_7_October_2025: 0.88241
CW2MF10_7_October_2025: 0.64404
CW3MF01_7_October_2025: 0.79654
CW1MF10_0_August_2024: 0.88777
CW3MF02_7_October_2025: 0.86242
CW3MF05_7_October_2025: 0.83627
CW3MF06_7_October_2025: 0.8534
CW3MF09_7_October_2025: 0.87234
CW3MF10_7_October_2025: 0.86039
CWinf_8_December_2025: 0.73282
CW1eff_8_December_2025: 0.85654
CW2eff_8_December_2025: 0.74924
CW3eff_8_December_2025: 0.8416
CW1MF01_8_December_2025: 0.83925
CW2MF01_0_August_2024: 0.87377
CW1MF02_8_December_2025: 0.82759
CW1MF05_8_December_2025: 0.88258
CW1MF06_8_December_2025: 0.87511
CW1MF09_8_December_2025: 0.85125
CW1MF10_8_December_2025: 0.87708
CW2MF01_8_December_2025: 0.75148
CW2MF02_8_December_2025: 0.76261
CW2MF05_8_December_2025: 0.8694
CW2MF06_8_December_2025: 0.82243
CW2MF09_8_December_2025: 0.88625
CW2MF02_0_August_2024: 0.91269
CW2MF10_8_December_2025: 0.86196
CW3MF01_8_December_2025: 0.88154
CW3MF02_8_December_2025: 0.84674
CW3MF05_8_December_2025: 0.85374
CW3MF06_8_December_2025: 0.84492
CW3MF09_8_December_2025: 0.8858
CW3MF10_8_December_2025: 0.88869
CW2MF05_0_August_2024: 0.9234
CW2MF06_0_August_2024: 0.88411
CW2MF09_0_August_2024: 0.88179
CW2MF10_0_August_2024: 0.91887
CW3MF01_0_August_2024: 0.85376
CW3MF02_0_August_2024: 0.89599
CW3MF05_0_August_2024: 0.85449
CW3MF06_0_August_2024: 0.91811
CW3MF09_0_August_2024: 0.89532
CW3MF10_0_August_2024: 0.84419
CWinf_1_October_2024: 0.71667
CW1eff_1_October_2024: 0.85242
CW2eff_1_October_2024: 0.83433
CW3eff_1_October_2024: 0.85556
CW1MF01_1_October_2024: 0.83192
CW1MF02_1_October_2024: 0.85243
CW1MF05_1_October_2024: 0.87519
CW1MF06_1_October_2024: 0.90314
CW1MF09_1_October_2024: 0.84848
CW1MF10_1_October_2024: 0.87059
CW2MF01_1_October_2024: 0.86787
CW2MF02_1_October_2024: 0.86685
CW2MF05_1_October_2024: 0.79766
CW2MF06_1_October_2024: 0.90702
CW2MF09_1_October_2024: 0.88139
CW2MF10_1_October_2024: 0.89045
CW3MF01_1_October_2024: 0.8625
CW3MF02_1_October_2024: 0.87615
CW3MF05_1_October_2024: 0.87086
CW3MF06_1_October_2024: 0.83415
CW3MF09_1_October_2024: 0.86437
CW3MF10_1_October_2024: 0.81429
CWinf_2_December_2024: 0.74453
CW1eff_2_December_2024: 0.88608
CW2eff_2_December_2024: 0.80453
CW3eff_2_December_2024: 0.63133
CW1MF01_2_December_2024: 0.83478
CW1MF02_2_December_2024: 0.83728
CW1MF05_2_December_2024: 0.87871
CW1MF06_2_December_2024: 0.88174
CW1MF09_2_December_2024: 0.86582
CW1MF10_2_December_2024: 0.80685
CW2MF01_2_December_2024: 0.84172
CW2MF02_2_December_2024: 0.84938
CW2MF05_2_December_2024: 0.89311
CW2MF06_2_December_2024: 0.89635
CW2MF09_2_December_2024: 0.9009
CW2MF10_2_December_2024: 0.90025
CW3MF01_2_December_2024: 0.8824
CW3MF02_2_December_2024: 0.86137
CW3MF05_2_December_2024: 0.89412
CW3MF06_2_December_2024: 0.86667
CW3MF09_2_December_2024: 0.89946
CW3MF10_2_December_2024: 0.80062
CWinf_3_February_2025: 0.78307
CW1eff_3_February_2025: 0.83912
CW2eff_3_February_2025: 0.84888
CW3eff_3_February_2025: 0.81302
CW1MF01_3_February_2025: 0.86531
CW1MF02_3_February_2025: 0.81818
CW1MF05_3_February_2025: 0.87912
CW1MF06_3_February_2025: 0.86993
CW1MF09_3_February_2025: 0.86368
CW1MF10_3_February_2025: 0.86897
CW2MF01_3_February_2025: 0.84824
CW2MF02_3_February_2025: 0.87037
CW2MF05_3_February_2025: 0.85737
CW2MF06_3_February_2025: 0.87167
CW2MF09_3_February_2025: 0.89117
CWinf_0_August_2024: 0.90814
CW2MF10_3_February_2025: 0.83256
CW3MF01_3_February_2025: 0.83507
CW3MF02_3_February_2025: 0.81849
CW3MF05_3_February_2025: 0.86389
CW3MF06_3_February_2025: 0.86475
CW3MF09_3_February_2025: 0.85973
CW3MF10_3_February_2025: 0.86957
CWinf_4_April_2025: 0.6375
CW1eff_4_April_2025: 0.8828
CW2eff_4_April_2025: 0.783
Unknown fraction (amount of sequences unused in the prediction) for each sample:
CW1eff_0_August_2024: 0.87243
CW3eff_4_April_2025: 0.33894
CW1MF01_4_April_2025: 0.59959
CW1MF02_4_April_2025: 0.2907
CW1MF05_4_April_2025: 0.63228
CW1MF06_4_April_2025: 0.45549
CW1MF09_4_April_2025: 0.60964
CW1MF10_4_April_2025: 0.52088
CW2MF01_4_April_2025: 0.53162
CW2MF02_4_April_2025: 0.37446
CW2MF05_4_April_2025: 0.61831
CW2eff_0_August_2024: 0.47312
CW2MF06_4_April_2025: 0.34517
CW2MF09_4_April_2025: 0.73089
CW2MF10_4_April_2025: 0.60149
CW3MF01_4_April_2025: 0.67681
CW3MF02_4_April_2025: 0.40705
CW3MF05_4_April_2025: 0.79165
CW3MF06_4_April_2025: 0.44518
CW3MF09_4_April_2025: 0.79163
CW3MF10_4_April_2025: 0.60448
CWinf_5_June_2025: 0.147
CW3eff_0_August_2024: 0.12245
CW1eff_5_June_2025: 0.13862
CW2eff_5_June_2025: 0.21438
CW3eff_5_June_2025: 0.82234
CW1MF01_5_June_2025: 0.53594
CW1MF02_5_June_2025: 0.65662
CW1MF05_5_June_2025: 0.64025
CW1MF06_5_June_2025: 0.71672
CW1MF09_5_June_2025: 0.72043
CW1MF10_5_June_2025: 0.76608
CW2MF01_5_June_2025: 0.5888
CW1MF01_0_August_2024: 0.79477
CW2MF02_5_June_2025: 0.40932
CW2MF05_5_June_2025: 0.5027
CW2MF06_5_June_2025: 0.58305
CW2MF09_5_June_2025: 0.67492
CW2MF10_5_June_2025: 0.7123
CW3MF01_5_June_2025: 0.6966
CW3MF02_5_June_2025: 0.62468
CW3MF05_5_June_2025: 0.75342
CW3MF06_5_June_2025: 0.60084
CW3MF09_5_June_2025: 0.66242
CW1MF02_0_August_2024: 0.4598
CW3MF10_5_June_2025: 0.8062
CWinf_6_August_2025: 0.16227
CW1eff_6_August_2025: 0.2642
CW2eff_6_August_2025: 0.20773
CW3eff_6_August_2025: 0.41332
CW1MF01_6_August_2025: 0.74285
CW1MF02_6_August_2025: 0.56055
CW1MF05_6_August_2025: 0.81499
CW1MF06_6_August_2025: 0.78823
CW1MF09_6_August_2025: 0.74075
CW1MF05_0_August_2024: 0.77539
CW1MF10_6_August_2025: 0.85172
CW2MF01_6_August_2025: 0.6433
CW2MF02_6_August_2025: 0.78028
CW2MF05_6_August_2025: 0.22685
CW2MF06_6_August_2025: 0.70065
CW2MF09_6_August_2025: 0.75549
CW2MF10_6_August_2025: 0.73155
CW3MF01_6_August_2025: 0.46421
CW3MF02_6_August_2025: 0.69301
CW3MF05_6_August_2025: 0.79082
CW1MF06_0_August_2024: 0.80608
CW3MF06_6_August_2025: 0.68638
CW3MF09_6_August_2025: 0.81883
CW3MF10_6_August_2025: 0.77835
CWinf_7_October_2025: 0.49343
CW1eff_7_October_2025: 0.16479
CW2eff_7_October_2025: 0.64507
CW3eff_7_October_2025: 0.11603
CW1MF01_7_October_2025: 0.65607
CW1MF02_7_October_2025: 0.77961
CW1MF05_7_October_2025: 0.89087
CW1MF09_0_August_2024: 0.61327
CW1MF06_7_October_2025: 0.83476
CW1MF09_7_October_2025: 0.78268
CW1MF10_7_October_2025: 0.8173
CW2MF01_7_October_2025: 0.81763
CW2MF02_7_October_2025: 0.56512
CW2MF05_7_October_2025: 0.30429
CW2MF06_7_October_2025: 0.66748
CW2MF09_7_October_2025: 0.74562
CW2MF10_7_October_2025: 0.16749
CW3MF01_7_October_2025: 0.50082
CW1MF10_0_August_2024: 0.73817
CW3MF02_7_October_2025: 0.73025
CW3MF05_7_October_2025: 0.83313
CW3MF06_7_October_2025: 0.70979
CW3MF09_7_October_2025: 0.77635
CW3MF10_7_October_2025: 0.64041
CWinf_8_December_2025: 0.13486
CW1eff_8_December_2025: 0.6594
CW2eff_8_December_2025: 0.41393
CW3eff_8_December_2025: 0.48062
CW1MF01_8_December_2025: 0.68282
CW2MF01_0_August_2024: 0.78396
CW1MF02_8_December_2025: 0.36541
CW1MF05_8_December_2025: 0.87397
CW1MF06_8_December_2025: 0.77672
CW1MF09_8_December_2025: 0.76852
CW1MF10_8_December_2025: 0.79786
CW2MF01_8_December_2025: 0.41972
CW2MF02_8_December_2025: 0.57105
CW2MF05_8_December_2025: 0.80609
CW2MF06_8_December_2025: 0.70053
CW2MF09_8_December_2025: 0.81606
CW2MF02_0_August_2024: 0.54625
CW2MF10_8_December_2025: 0.70001
CW3MF01_8_December_2025: 0.78212
CW3MF02_8_December_2025: 0.34356
CW3MF05_8_December_2025: 0.82991
CW3MF06_8_December_2025: 0.3578
CW3MF09_8_December_2025: 0.78482
CW3MF10_8_December_2025: 0.75372
CW2MF05_0_August_2024: 0.83153
CW2MF06_0_August_2024: 0.70353
CW2MF09_0_August_2024: 0.73811
CW2MF10_0_August_2024: 0.86857
CW3MF01_0_August_2024: 0.71819
CW3MF02_0_August_2024: 0.60797
CW3MF05_0_August_2024: 0.7282
CW3MF06_0_August_2024: 0.72755
