	CW1eff_0_August_2024	CW3eff_4_April_2025	CW1MF01_4_April_2025	CW1MF02_4_April_2025	CW1MF05_4_April_2025	CW1MF06_4_April_2025	CW1MF09_4_April_2025	CW1MF10_4_April_2025	CW2MF01_4_April_2025	CW2MF02_4_April_2025	CW2MF05_4_April_2025	CW2eff_0_August_2024	CW2MF06_4_April_2025	CW2MF09_4_April_2025	CW2MF10_4_April_2025	CW3MF01_4_April_2025	CW3MF02_4_April_2025	CW3MF05_4_April_2025	CW3MF06_4_April_2025	CW3MF09_4_April_2025	CW3MF10_4_April_2025	CWinf_5_June_2025	CW3eff_0_August_2024	CW1eff_5_June_2025	CW2eff_5_June_2025	CW3eff_5_June_2025	CW1MF01_5_June_2025	CW1MF02_5_June_2025	CW1MF05_5_June_2025	CW1MF06_5_June_2025	CW1MF09_5_June_2025	CW1MF10_5_June_2025	CW2MF01_5_June_2025	CW1MF01_0_August_2024	CW2MF02_5_June_2025	CW2MF05_5_June_2025	CW2MF06_5_June_2025	CW2MF09_5_June_2025	CW2MF10_5_June_2025	CW3MF01_5_June_2025	CW3MF02_5_June_2025	CW3MF05_5_June_2025	CW3MF06_5_June_2025	CW3MF09_5_June_2025	CW1MF02_0_August_2024	CW3MF10_5_June_2025	CWinf_6_August_2025	CW1eff_6_August_2025	CW2eff_6_August_2025	CW3eff_6_August_2025	CW1MF01_6_August_2025	CW1MF02_6_August_2025	CW1MF05_6_August_2025	CW1MF06_6_August_2025	CW1MF09_6_August_2025	CW1MF05_0_August_2024	CW1MF10_6_August_2025	CW2MF01_6_August_2025	CW2MF02_6_August_2025	CW2MF05_6_August_2025	CW2MF06_6_August_2025	CW2MF09_6_August_2025	CW2MF10_6_August_2025	CW3MF01_6_August_2025	CW3MF02_6_August_2025	CW3MF05_6_August_2025	CW1MF06_0_August_2024	CW3MF06_6_August_2025	CW3MF09_6_August_2025	CW3MF10_6_August_2025	CWinf_7_October_2025	CW1eff_7_October_2025	CW2eff_7_October_2025	CW3eff_7_October_2025	CW1MF01_7_October_2025	CW1MF02_7_October_2025	CW1MF05_7_October_2025	CW1MF09_0_August_2024	CW1MF06_7_October_2025	CW1MF09_7_October_2025	CW1MF10_7_October_2025	CW2MF01_7_October_2025	CW2MF02_7_October_2025	CW2MF05_7_October_2025	CW2MF06_7_October_2025	CW2MF09_7_October_2025	CW2MF10_7_October_2025	CW3MF01_7_October_2025	CW1MF10_0_August_2024	CW3MF02_7_October_2025	CW3MF05_7_October_2025	CW3MF06_7_October_2025	CW3MF09_7_October_2025	CW3MF10_7_October_2025	CWinf_8_December_2025	CW1eff_8_December_2025	CW2eff_8_December_2025	CW3eff_8_December_2025	CW1MF01_8_December_2025	CW2MF01_0_August_2024	CW1MF02_8_December_2025	CW1MF05_8_December_2025	CW1MF06_8_December_2025	CW1MF09_8_December_2025	CW1MF10_8_December_2025	CW2MF01_8_December_2025	CW2MF02_8_December_2025	CW2MF05_8_December_2025	CW2MF06_8_December_2025	CW2MF09_8_December_2025	CW2MF02_0_August_2024	CW2MF10_8_December_2025	CW3MF01_8_December_2025	CW3MF02_8_December_2025	CW3MF05_8_December_2025	CW3MF06_8_December_2025	CW3MF09_8_December_2025	CW3MF10_8_December_2025	CW2MF05_0_August_2024	CW2MF06_0_August_2024	CW2MF09_0_August_2024	CW2MF10_0_August_2024	CW3MF01_0_August_2024	CW3MF02_0_August_2024	CW3MF05_0_August_2024	CW3MF06_0_August_2024	CW3MF09_0_August_2024	CW3MF10_0_August_2024	CWinf_1_October_2024	CW1eff_1_October_2024	CW2eff_1_October_2024	CW3eff_1_October_2024	CW1MF01_1_October_2024	CW1MF02_1_October_2024	CW1MF05_1_October_2024	CW1MF06_1_October_2024	CW1MF09_1_October_2024	CW1MF10_1_October_2024	CW2MF01_1_October_2024	CW2MF02_1_October_2024	CW2MF05_1_October_2024	CW2MF06_1_October_2024	CW2MF09_1_October_2024	CW2MF10_1_October_2024	CW3MF01_1_October_2024	CW3MF02_1_October_2024	CW3MF05_1_October_2024	CW3MF06_1_October_2024	CW3MF09_1_October_2024	CW3MF10_1_October_2024	CWinf_2_December_2024	CW1eff_2_December_2024	CW2eff_2_December_2024	CW3eff_2_December_2024	CW1MF01_2_December_2024	CW1MF02_2_December_2024	CW1MF05_2_December_2024	CW1MF06_2_December_2024	CW1MF09_2_December_2024	CW1MF10_2_December_2024	CW2MF01_2_December_2024	CW2MF02_2_December_2024	CW2MF05_2_December_2024	CW2MF06_2_December_2024	CW2MF09_2_December_2024	CW2MF10_2_December_2024	CW3MF01_2_December_2024	CW3MF02_2_December_2024	CW3MF05_2_December_2024	CW3MF06_2_December_2024	CW3MF09_2_December_2024	CW3MF10_2_December_2024	CWinf_3_February_2025	CW1eff_3_February_2025	CW2eff_3_February_2025	CW3eff_3_February_2025	CW1MF01_3_February_2025	CW1MF02_3_February_2025	CW1MF05_3_February_2025	CW1MF06_3_February_2025	CW1MF09_3_February_2025	CW1MF10_3_February_2025	CW2MF01_3_February_2025	CW2MF02_3_February_2025	CW2MF05_3_February_2025	CW2MF06_3_February_2025	CW2MF09_3_February_2025	CWinf_0_August_2024	CW2MF10_3_February_2025	CW3MF01_3_February_2025	CW3MF02_3_February_2025	CW3MF05_3_February_2025	CW3MF06_3_February_2025	CW3MF09_3_February_2025	CW3MF10_3_February_2025	CWinf_4_April_2025	CW1eff_4_April_2025	CW2eff_4_April_2025
Seq_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	2	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0
Seq_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	119	11	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Seq_3	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	10	0	9	0	14	0	0	0	0	0	0	0	0	15	0	14	0	0	11	0	0	0	2	0	6	0	10	0	0	11	0	0	0	0	0	0	0	12	0	0	14	19	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	10	0	25	0	0	0	0	0	23	0	0	7	0	0	0	8	0	0	0	0	0	0	0	0	14	0	16	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Seq_4	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	23	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	10	0
Seq_5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0
Seq_6	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	13	12	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	13	21	0	0	0	0	11	0	0	0	0	0	0	10	0	0	0
Seq_7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	20	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Seq_8	0	0	12	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	11	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Seq_9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Seq_10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0
